DEPTH,AC,CAL,CNL,DEN,DEN_QYZ,DEN_QYZ_S,GR,GR_QYZ,GR_QYZ_S,ILD,ILM,LL8,RLLD,RLLD_QYZ,RLLD_QYZ_S,RLLS,RPL,SP,SP_S,LAYER,FACIES
1137.1,89.74,8.369,23.631,1.844,1.844,2.268,53.321,53.321,79.429,19.333,18.628,19.588,25.306,16.822,11.143,23.66,94.093,54.715,59.469,P19,J
1137.15,90.258,8.371,23.494,1.84,1.84,2.263,52.572,52.572,78.923,19.695,19.333,19.588,26.574,16.822,11.143,24.272,88.804,54.296,59.015,P19,J
1137.2,90.649,8.377,23.444,1.837,1.837,2.26,52.014,52.014,78.546,20.047,19.561,20.324,27.469,16.822,11.143,24.985,88.804,54.014,58.71,P19,J
1137.25,90.964,8.394,23.544,1.834,1.834,2.257,51.456,51.456,78.169,20.823,20.064,20.701,28.363,16.822,11.143,26.379,90.438,53.732,58.404,P19,J
1137.3,91.282,8.41,23.711,1.831,1.831,2.253,51.092,51.092,77.923,21.214,20.44,21.086,28.999,16.822,11.143,26.379,93.798,53.525,58.18,P19,J
1137.35,91.608,8.416,23.819,1.831,1.831,2.253,50.727,50.727,77.676,22.791,21.611,21.478,29.636,16.822,11.143,26.381,97.19,53.318,57.956,P19,J
1137.4,91.888,8.414,23.827,1.834,1.834,2.257,50.531,50.531,77.543,23.714,21.611,21.878,30.063,16.822,11.143,27.353,103.095,53.14,57.764,P19,J
1137.45,92.113,8.41,23.75,1.84,1.84,2.263,50.502,50.502,77.524,24.158,21.716,22.284,30.28,16.822,11.143,27.353,109.027,52.993,57.604,P19,J
1137.5,92.312,8.41,23.599,1.846,1.846,2.27,50.473,50.473,77.505,24.615,22.016,22.492,30.497,16.822,11.143,27.353,114.932,52.846,57.445,P19,J
1137.55,92.446,8.414,23.389,1.85,1.85,2.275,50.8,50.8,77.726,25.072,22.016,22.699,30.497,16.822,11.143,27.353,120.835,52.699,57.286,P19,J
1137.6,92.446,8.417,23.176,1.854,1.854,2.279,51.127,51.127,77.947,25.072,22.016,23.121,30.497,16.822,11.143,27.353,126.766,52.552,57.127,P19,J
1137.65,92.343,8.411,23.017,1.859,1.859,2.285,51.17,51.17,77.976,25.072,22.016,23.121,30.497,16.822,11.143,27.353,132.671,52.469,57.037,P19,J
1137.7,92.262,8.399,22.907,1.862,1.862,2.288,50.931,50.931,77.814,25.072,22.016,22.699,30.497,16.822,11.143,26.377,138.603,52.448,57.015,P19,J
1137.75,92.267,8.393,22.802,1.862,1.862,2.288,50.691,50.691,77.652,24.611,22.016,22.284,30.497,16.822,11.143,25.44,144.506,52.428,56.992,P19,J
1137.8,92.294,8.4,22.723,1.856,1.856,2.282,50.649,50.649,77.624,24.611,22.016,21.878,29.645,16.822,11.143,24.983,148.121,52.433,56.998,P19,J
1137.85,92.286,8.411,22.788,1.851,1.851,2.276,50.608,50.608,77.596,24.158,22.016,21.086,28.794,16.822,11.143,24.093,150.853,52.438,57.004,P19,J
1137.9,92.272,8.416,23.06,1.851,1.851,2.276,50.82,50.82,77.74,24.158,22.016,20.701,28.116,16.822,11.143,23.66,145.449,52.435,57.0,P19,J
1137.95,92.289,8.423,23.411,1.857,1.857,2.283,51.287,51.287,78.055,24.158,22.016,19.953,27.611,16.822,11.143,23.235,145.439,52.422,56.986,P19,J
1138.0,92.296,8.436,23.654,1.863,1.863,2.29,51.754,51.754,78.37,24.158,21.611,19.588,27.107,16.822,11.143,23.026,142.811,52.409,56.972,P19,J
1138.05,92.237,8.445,23.79,1.864,1.864,2.291,53.034,53.034,79.234,24.158,21.611,19.588,26.626,16.822,11.143,22.817,148.117,52.562,57.137,P19,J
1138.1,92.134,8.44,23.994,1.86,1.86,2.286,54.313,54.313,80.099,24.158,21.611,18.535,26.145,16.822,11.143,22.408,142.805,52.715,57.303,P19,J
1138.15,92.07,8.434,24.324,1.857,1.857,2.283,55.287,55.287,80.756,24.158,21.214,18.535,25.812,16.822,11.143,22.408,137.69,52.811,57.407,P19,J
1138.2,92.077,8.44,24.641,1.858,1.858,2.284,55.954,55.954,81.207,24.158,20.44,18.535,25.626,16.822,11.143,22.408,140.231,52.85,57.45,P19,J
1138.25,92.101,8.453,24.853,1.859,1.859,2.285,56.621,56.621,81.658,24.158,20.064,18.535,25.44,16.822,11.143,22.005,142.811,52.89,57.493,P19,J
1138.3,92.086,8.458,25.064,1.859,1.859,2.285,57.024,57.024,81.93,24.158,19.695,18.535,25.078,16.822,11.143,22.005,142.811,53.12,57.742,P19,J
1138.35,92.067,8.454,25.382,1.859,1.859,2.285,57.427,57.427,82.201,24.158,18.977,18.535,24.715,16.822,11.143,21.61,145.896,53.351,57.992,P19,J
1138.4,92.119,8.45,25.707,1.858,1.858,2.284,57.612,57.612,82.326,23.714,18.628,18.88,24.446,16.822,11.143,21.61,148.125,53.518,58.172,P19,J
1138.45,92.267,8.455,25.878,1.853,1.853,2.278,57.581,57.581,82.305,23.714,17.616,18.88,24.269,16.822,11.143,21.61,156.487,53.621,58.284,P19,J
1138.5,92.467,8.466,25.884,1.846,1.846,2.27,57.549,57.549,82.284,23.714,16.976,18.88,24.093,16.822,11.143,21.61,162.302,53.724,58.396,P19,J
1138.55,92.674,8.481,25.825,1.841,1.841,2.265,58.0,58.0,82.589,22.431,16.359,18.88,23.835,16.822,11.143,21.221,168.331,54.096,58.799,P19,J
1138.6,92.877,8.493,25.697,1.839,1.839,2.262,58.451,58.451,82.894,21.611,14.907,18.88,23.577,16.822,11.143,21.221,162.294,54.468,59.201,P19,J
